,ID,Museum.specific.ID,Museum,Region,Site,Country.of.site,Specimen.collection.no.,Assemblage.layer.no.,Contextual.information,Preservation,Raw.material,Length..mm.,Width..mm.,Thickness..mm.,Site.1,Photograph.names,Edited.photo.name,Researcher.initials..photo.,Researcher.initials..measurements.,Supplementary.information,LT.notes,Assemblage_2,Min.age,Mid.age,Max.age,N,E
1,625,1,NME,East,Goda Buticha ,Ethiopia,36,"B1a, IIc 140-130",Excavated ,Complete,Basalt,45,16.5,6.5,Goda Buticha ,"Image_7099,7100,7101,7102,7103,7104",E_point_1,BH,YT,"Full info in the bag [ BC 2008, B1a 140-130 IIC No. 36]",NA,"Complex II, IIc-a",4,6,8,9.54,41.63
2,637,13,NME,East,Goda Buticha ,Ethiopia,?,"Bla, +91cm",Excavated ,Complete,Chert,47.5,22.1,7.7,Goda Buticha ,"Image_6980,6981,6982,6983",E_point_10,BH,YT,,NA,"Complex II, IIc-a",4,6,8,9.54,41.63
3,775,151,NME,East,Porc Epic,Ethiopia,1266,08N-07W (110-120),Excavated ,Complete,Chert,54.6,29.8,12.8,Porc Epic,"IMG_7424,7425,7426,7427",E_point_100,BH,BH,,NA,08N-07W IIIa,NA,40,NA,9.63,41.87
4,776,152,NME,East,Porc Epic,Ethiopia,1165,08N-07W (110-120),Excavated ,Complete,Chert,51.8,24.7,6.7,Porc Epic,"IMG_7429,7430,7431,7432,7433,7434",E_point_101,BH,BH,,NA,08N-07W IIIa,NA,40,NA,9.63,41.87
5,777,153,NME,East,Porc Epic,Ethiopia,2323,08N-07W (180-190),Excavated ,Complete,Chert,37.9,28.2,8.1,Porc Epic,"IMG_7436,7437,7438,7439,7440",E_point_102,BH,BH,,NA,08N-07W IIId,NA,40,NA,9.63,41.87
6,778,154,NME,East,Porc Epic,Ethiopia,2131,08N-07W (150-160),Excavated ,Complete,Basalt,38,21.5,6.3,Porc Epic,"IMG_7442,7443,7444,7445,7446",E_point_103,BH,BH,,NA,08N-07W  IIIc,NA,40,NA,9.63,41.87
7,779,155,NME,East,Porc Epic,Ethiopia,2135,08N-07W (150-160),Excavated ,Complete,Chert,46.8,20.8,8.4,Porc Epic,"IMG_7448,7449,7450,7451,7452",E_point_104,BH,BH,,NA,08N-07W  IIIc,NA,40,NA,9.63,41.87
8,780,156,NME,East,Porc Epic,Ethiopia,1250,08N-07W (120-130),Excavated ,Complete,Chert,46.9,33,9.7,Porc Epic,"IMG_7454,7455,7456,7457,7458",E_point_105,BH,BH,,NA,08N-07W  IIIb,NA,40,NA,9.63,41.87
9,781,157,NME,East,Porc Epic,Ethiopia,1256,08N-07W (120-130),Excavated ,Complete,Basalt,33.5,18.7,7.1,Porc Epic,"IMG_7460,7461,7462,7463",E_point_106,BH,BH,,NA,08N-07W  IIIb,NA,40,NA,9.63,41.87
10,782,158,NME,East,Porc Epic,Ethiopia,2131,08N-07W (150-160),Excavated ,Complete,Chert,68.2,52.8,12.4,Porc Epic,"IMG_7471,7472,7473,7474",E_point_107,BH,BH,,NA,08N-07W  IIIc,NA,40,NA,9.63,41.87
