,Assemblage_2,Length,Width,Thickness,PC1,PC2,PC3,PC4,PC5,PC6,Min age,Mid-age,Max age,N,E,Chert,Basalt,Obsidian,Fossilied Wood,Rhyolite,Quartzite
5,06N-14W 60-200,40.9,21.8,8.1,-0.055,-0.001,-0.018,0.007,0.003,-0.001,,40,,9.63,41.87,1,1,1,0,0,0
6,08N-07W  IIIb,44.7,23.7,8.6,-0.075,-0.014,-0.022,-0.001,0.005,-0.001,,40,,9.63,41.87,1,1,1,0,0,0
7,08N-07W  IIIc,44.5,22.5,7.5,-0.038,-0.019,-0.036,0.001,0.01,0.006,,40,,9.63,41.87,1,1,1,0,0,0
8,08N-07W IIIa,45.6,26.1,7.6,-0.035,-0.01,-0.025,-0.002,0.002,0.01,,40,,9.63,41.87,1,1,0,0,0,0
9,08N-07W IIId,45.4,31.2,8.6,0.087,0.001,-0.043,-0.026,0.003,-0.005,,40,,9.63,41.87,1,1,1,0,0,0
1,AHS,53.7,34,9.9,0.055,0,-0.014,0,-0.003,-0.009,93,111,123,5.41,35.9,1,1,0,0,1,0
2,BNS ,46.4,30.7,9.3,0.079,0.001,-0.022,-0.006,0.026,-0.023,195,200,205,5.41,35.9,1,1,0,0,0,0
10,"Complex II, IIc",40.4,19.3,7.4,-0.089,-0.002,-0.019,0.015,-0.006,0.002,6,7,8,9.54,41.63,1,1,1,0,0,1
11,"Complex II, IId-f",36.2,19.1,6.5,-0.051,-0.017,0.018,-0.018,0,0.015,23,47,70,9.54,41.63,1,1,1,0,0,0
12,GnJh 78,54.1,35.5,10.2,0.015,-0.02,0.041,0,-0.007,-0.002,,100,,0.52,35.9,1,1,1,0,0,0
13,GnJh-15,25.6,18.2,6.4,0.059,0.057,0.043,-0.022,-0.016,0.014,396,431,465,0.52,35.9,0,1,0,0,0,0
14,GrJi 11,44.6,26.1,8.6,-0.011,0.024,-0.005,0.014,-0.006,-0.026,30,51,72,-0.48,36.1,0,0,1,0,0,0
3,GsJi 7,36.7,24.2,8.7,0.068,0.012,0.035,-0.003,-0.001,-0.016,50,85,120,-0.59,36.18,0,0,1,0,0,0
4,GsJi 8,46.5,30.2,10.2,0.057,-0.001,0.015,0,-0.004,0.004,50,85,120,-0.59,36.18,0,1,1,1,0,0
